task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score
HumanEval/139,competitive,gemma-12b:zero_shot,0,5,0,5,0.0,51.43,0.0,1.0,2.5,80.5,2.33,0.402,0,0,0,14,1,4,0.0,0.742
HumanEval/139,baseline,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.75,71.99,3.07,0.354,310,0,310,11,1,4,0.0,0.742
HumanEval/139,competitive,gemma-12b:cot,0,5,0,5,0.0,51.43,0.0,1.0,2.5,80.5,2.33,0.396,0,0,0,14,1,4,0.0,0.742
HumanEval/139,coa,gemma-12b:zero_shot,0,8,0,8,0.0,77.78,0.0,1.0,1.78,80.42,3.0,0.321,150,0,150,8,1,4,0.0,0.692
HumanEval/139,swarm,gemma-12b:zero_shot,0,1,0,1,0.0,50.0,0.0,1.0,1.0,100.0,1.13,0.647,0,0,0,1,1,1,0.0,0.367
HumanEval/139,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.12,80.69,2.47,0.371,886,0,886,11,1,4,0.0,0.742
HumanEval/139,baseline,gemma-12b:cot,0,5,0,5,0.0,48.65,0.0,1.0,2.5,75.06,2.47,0.365,497,0,497,14,1,4,0.0,0.742
HumanEval/139,competitive,gemma-12b:scot,0,5,0,5,0.0,51.43,0.0,1.0,2.5,80.5,2.33,0.401,0,0,0,14,1,4,0.0,0.742
HumanEval/139,hybrid,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.67,63.43,5.93,0.191,2225,0,2225,0,0,0,1.0,0.0
HumanEval/139,baseline,gemma-12b:scot,5,1,0,6,0.833,86.54,80.0,1.0,2.33,72.64,4.8,0.205,419,0,419,0,0,0,1.0,0.0
HumanEval/139,actor_critic,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.29,80.32,2.33,0.415,1138,0,1138,13,1,4,0.0,0.742
HumanEval/139,atomic_swarm,gemma-12b:zero_shot,0,2,0,2,0.0,60.0,0.0,1.0,1.5,94.49,1.47,0.583,292,0,292,2,1,4,0.0,0.542
HumanEval/139,competitive,gemma-12b:few_shot,0,5,0,5,0.0,51.43,0.0,1.0,2.5,80.5,2.33,0.401,0,0,0,14,1,4,0.0,0.742
HumanEval/139,swarm,gemma-12b:cot,0,2,0,2,0.0,58.82,0.0,1.0,1.33,95.95,1.27,0.607,240,0,240,1,1,4,0.0,0.517
HumanEval/139,soa,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.12,80.69,2.47,0.371,590,0,590,11,1,4,0.0,0.742
HumanEval/139,soa,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.12,80.69,2.47,0.371,1272,0,1272,11,1,4,0.0,0.742
HumanEval/139,actor_critic,gemma-12b:scot,0,0,1,1,0.0,,,1.0,1.75,86.04,1.93,0.481,1520,0,1520,8,1,4,0.0,0.692
HumanEval/139,hybrid,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.57,71.91,3.4,0.327,3062,0,3062,14,1,4,0.0,0.742
HumanEval/139,coa,gemma-12b:scot,0,7,0,7,0.0,72.22,0.0,1.0,2.0,79.79,3.0,0.317,150,0,150,8,1,4,0.0,0.692
HumanEval/139,baseline,gemma-12b:few_shot,0,3,0,3,0.0,50.0,0.0,1.0,3.0,88.2,1.47,0.512,649,0,649,8,1,3,0.0,0.642
HumanEval/139,soa,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.12,80.69,2.47,0.371,148,0,148,11,1,4,0.0,0.742
HumanEval/139,coa,gemma-12b:few_shot,0,8,0,8,0.0,77.78,0.0,1.0,1.78,80.42,3.0,0.322,150,0,150,8,1,4,0.0,0.692
HumanEval/139,swarm,gemma-12b:few_shot,0,1,0,1,0.0,50.0,0.0,1.0,1.5,88.36,0.93,0.773,4581,0,4581,1,0,3,0.0,0.425
HumanEval/139,hybrid,gemma-12b:few_shot,12,5,0,17,0.706,89.47,80.0,1.0,2.17,64.39,6.67,0.167,3982,0,3982,8,2,4,0.0,0.733
HumanEval/139,atomic_swarm,gemma-12b:scot,0,2,0,2,0.0,60.0,0.0,1.0,1.5,94.49,1.47,0.583,5489,0,5489,2,1,4,0.0,0.542
HumanEval/139,adversarial,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,1.89,80.24,2.6,0.373,1634,0,1634,12,1,4,0.0,0.742
HumanEval/139,atomic_swarm,gemma-12b:few_shot,0,2,0,2,0.0,60.0,0.0,1.0,1.5,94.49,1.47,0.583,653,0,653,2,1,4,0.0,0.542
HumanEval/139,coa,gemma-12b:cot,0,7,0,7,0.0,72.22,0.0,1.0,2.0,79.79,3.0,0.316,150,0,150,8,1,4,0.0,0.692
HumanEval/139,atomic_swarm,gemma-12b:cot,0,2,0,2,0.0,60.0,0.0,1.0,1.5,94.49,1.47,0.583,146,0,146,2,1,4,0.0,0.542
HumanEval/139,consensus,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.33,81.83,2.4,0.379,1618,0,1618,13,1,4,0.0,0.742
HumanEval/139,consensus,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.33,81.83,2.4,0.38,2955,0,2955,13,1,4,0.0,0.742
HumanEval/139,adversarial,gemma-12b:scot,0,0,1,1,0.0,,,1.0,1.86,85.47,2.0,0.444,0,0,0,9,1,4,0.0,0.717
HumanEval/139,adversarial,gemma-12b:cot,4,0,0,4,1.0,84.78,75.0,0.0,2.33,80.18,3.27,0.324,1087,0,1087,10,1,4,0.0,0.742
HumanEval/139,adversarial,gemma-12b:few_shot,3,2,0,5,0.6,80.95,75.0,1.0,2.88,76.46,3.27,0.282,0,0,0,0,0,0,1.0,0.0
HumanEval/139,hybrid,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.0,86.52,1.93,0.476,514,0,514,9,1,4,0.0,0.717
HumanEval/139,swarm,gemma-12b:scot,0,1,0,1,0.0,50.0,0.0,1.0,1.5,88.36,0.93,0.773,1726,0,1726,1,0,3,0.0,0.425
HumanEval/139,actor_critic,gemma-12b:cot,2,1,0,3,0.667,81.13,85.71,1.0,3.6,77.74,3.4,0.317,646,0,646,7,0,4,0.0,0.625
HumanEval/139,consensus,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.33,81.83,2.4,0.384,3272,0,3272,13,1,4,0.0,0.742
HumanEval/139,consensus,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.33,81.83,2.4,0.376,5149,0,5149,13,1,4,0.0,0.742
HumanEval/139,actor_critic,gemma-12b:few_shot,3,3,0,6,0.5,86.0,75.0,1.0,2.38,73.4,4.0,0.252,4597,0,4597,12,1,4,0.0,0.742
HumanEval/139,self_healing,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.33,81.83,2.4,0.373,2067,459,2526,13,1,4,0.0,0.742
HumanEval/139,self_healing,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.33,81.83,2.4,0.381,0,0,0,13,1,4,0.0,0.742
HumanEval/139,self_healing,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.33,81.83,2.4,0.381,0,0,0,13,1,4,0.0,0.742
HumanEval/139,self_healing,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.33,81.83,2.4,0.381,0,0,0,13,1,4,0.0,0.742
HumanEval/140,competitive,gemma-12b:zero_shot,0,12,0,12,0.0,82.35,0.0,1.0,1.92,78.91,2.5,0.407,0,0,0,12,1,3,0.0,0.692
HumanEval/140,baseline,gemma-12b:zero_shot,0,14,0,14,0.0,84.21,0.0,1.0,1.93,75.78,2.79,0.355,338,0,338,14,1,3,0.0,0.692
HumanEval/140,competitive,gemma-12b:cot,0,12,0,12,0.0,82.35,0.0,1.0,1.92,78.91,2.5,0.405,0,0,0,12,1,3,0.0,0.692
HumanEval/140,soa,gemma-12b:zero_shot,0,15,0,15,0.0,85.0,0.0,1.0,1.94,74.33,2.93,0.346,3568,0,3568,15,1,3,0.0,0.692
HumanEval/140,atomic_swarm,gemma-12b:zero_shot,0,3,0,3,0.0,64.71,0.0,1.0,1.75,93.47,1.29,0.701,165,0,165,2,1,3,0.333,0.408
HumanEval/140,baseline,gemma-12b:cot,8,6,0,14,0.571,91.04,80.0,1.0,2.24,66.3,5.07,0.252,549,0,549,0,0,0,1.0,0.0
HumanEval/140,coa,gemma-12b:zero_shot,0,11,0,11,0.0,81.82,0.0,1.0,1.92,81.27,2.64,0.407,2878,0,2878,7,0,3,0.364,0.484
HumanEval/140,swarm,gemma-12b:zero_shot,0,1,0,1,0.0,53.85,0.0,1.0,1.5,88.36,1.0,0.759,1803,0,1803,1,0,3,0.0,0.425
HumanEval/140,hybrid,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,1.95,69.29,3.57,0.283,1132,0,1132,19,1,3,0.0,0.692
HumanEval/140,soa,gemma-12b:cot,0,17,0,17,0.0,86.36,0.0,1.0,1.94,71.6,3.21,0.312,1623,0,1623,17,1,3,0.0,0.692
HumanEval/140,coa,gemma-12b:cot,0,11,0,11,0.0,81.82,0.0,1.0,1.92,81.27,2.64,0.407,169,0,169,7,0,3,0.364,0.484
HumanEval/140,competitive,gemma-12b:scot,0,12,0,12,0.0,82.35,0.0,1.0,1.92,78.91,2.5,0.407,0,0,0,12,1,3,0.0,0.692
HumanEval/140,baseline,gemma-12b:scot,5,5,0,10,0.5,78.95,25.0,1.0,2.0,62.46,5.36,0.211,615,0,615,0,0,0,1.0,0.0
HumanEval/140,actor_critic,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.42,69.42,3.71,0.307,4376,0,4376,21,3,4,0.0,0.825
