task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/150,baseline,gemma-27b:scot,0,0,1,1,0.0,,,1.0,0,0,0,0.034,,0,0,0
HumanEval/150,baseline,gemma-27b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.034,,0,0,0
HumanEval/148,baseline,gemma-27b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.022,,0,0,0
HumanEval/149,baseline,gemma-27b:scot,0,0,1,1,0.0,,,1.0,0,0,0,0.025,,0,0,0
HumanEval/149,baseline,gemma-27b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.025,,0,0,0
HumanEval/148,baseline,gemma-27b:scot,0,0,1,1,0.0,,,1.0,0,0,0,0.022,,0,0,0
HumanEval/147,baseline,gemma-27b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.033,,0,0,0
HumanEval/151,baseline,gemma-1b:scot,0,0,0,0,0,15.0,,1.0,5.0,90.4,1.2,0.777,,281,228,509
HumanEval/151,baseline,gemma-12b:zero_shot,12,3,0,15,0.8,100.0,,1.0,2.0,45.94,2.07,0.012,,485,228,713
HumanEval/151,baseline,gemma-4b:scot,14,1,0,15,0.933,83.0,,1.0,2.19,71.34,4.33,0.27,,766,228,994
HumanEval/152,baseline,gemma-1b:zero_shot,2,2,0,4,0.5,96.0,,1.0,2.2,59.45,1.31,0.024,,290,223,513
HumanEval/152,baseline,gemma-1b:scot,0,0,0,0,0,27.0,,1.0,3.0,70.77,0.69,0.086,,367,72,439
HumanEval/152,baseline,gemma-12b:zero_shot,13,1,0,14,0.929,100.0,,1.0,1.93,48.3,2.31,0.025,,290,0,290
HumanEval/152,baseline,gemma-4b:zero_shot,7,0,0,7,1.0,97.0,,0.0,2.25,79.19,2.69,0.612,,580,0,580
HumanEval/152,baseline,gemma-27b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.026,,0,0,0
HumanEval/152,baseline,gemma-4b:scot,4,1,0,5,0.8,95.0,,1.0,2.0,74.81,3.08,0.472,,367,0,367
HumanEval/152,baseline,gemma-12b:scot,8,0,0,8,1.0,97.0,,0.0,1.9,73.28,4.85,0.401,,734,0,734
