task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,baseline,gemma-4b:zero_shot,2,2,0,4,0.5,68.0,,1.0,4.4,72.21,2.53,0.35,222.62,1844.0,2316.0,4160.0
HumanEval/139,baseline,gemma-4b:cot,2,2,0,4,0.5,76.0,,1.0,3.2,76.82,2.13,0.416,226.58,2052.0,2316.0,4368.0
HumanEval/139,baseline,gemma-4b:scot,7,2,0,9,0.778,84.0,,1.0,2.2,76.96,3.6,0.28,242.27,2279.0,2316.0,4595.0
HumanEval/139,baseline,gemma-4b:few_shot,4,1,0,5,0.8,76.0,,1.0,2.88,71.73,3.0,0.378,247.06,2605.0,2316.0,4921.0
HumanEval/139,actor_critic,gemma-4b:zero_shot,4,3,0,7,0.571,78.0,,1.0,3.0,71.75,2.67,0.354,417.49,603.0,0.0,603.0
HumanEval/139,actor_critic,gemma-4b:cot,2,3,0,5,0.4,76.0,,1.0,3.33,74.47,2.4,0.387,386.13,549.0,0.0,549.0
HumanEval/139,actor_critic,gemma-4b:scot,3,2,0,5,0.6,76.0,,1.0,3.33,77.66,3.27,0.286,387.92,655.0,0.0,655.0
HumanEval/139,actor_critic,gemma-4b:few_shot,9,2,0,11,0.818,79.0,,1.0,3.5,56.5,4.73,0.239,392.37,1534.0,0.0,1534.0
HumanEval/139,adversarial,gemma-4b:zero_shot,2,3,0,5,0.4,69.0,,1.0,4.5,70.67,2.87,0.347,395.43,2322.0,0.0,2322.0
HumanEval/139,adversarial,gemma-4b:cot,4,3,0,7,0.571,78.0,,1.0,2.88,74.75,2.6,0.388,392.61,2538.0,0.0,2538.0
HumanEval/139,adversarial,gemma-4b:scot,7,0,0,7,1.0,82.0,,0.0,2.25,74.27,3.67,0.266,375.27,2988.0,0.0,2988.0
HumanEval/139,adversarial,gemma-4b:few_shot,7,2,0,9,0.778,79.0,,1.0,3.75,60.56,4.47,0.243,389.63,135.0,0.0,135.0
HumanEval/139,soa,gemma-4b:zero_shot,2,3,0,5,0.4,69.0,,1.0,4.5,70.67,2.87,0.341,312.02,4348.0,0.0,4348.0
HumanEval/139,soa,gemma-4b:cot,0,4,0,4,0.0,66.0,,1.0,3.0,78.6,2.2,0.413,296.31,4846.0,0.0,4846.0
HumanEval/139,soa,gemma-4b:scot,2,2,0,4,0.5,73.0,,1.0,3.8,77.25,2.33,0.428,297.62,5829.0,0.0,5829.0
HumanEval/139,soa,gemma-4b:few_shot,7,1,0,8,0.875,80.0,,1.0,3.45,61.78,4.0,0.277,291.68,852.0,0.0,852.0
HumanEval/139,hybrid,gemma-4b:cot,2,3,0,5,0.4,77.0,,1.0,3.5,74.34,2.47,0.387,733.78,1613.0,150.0,1763.0
HumanEval/139,hybrid,gemma-4b:zero_shot,2,7,0,9,0.222,74.0,,1.0,3.6,65.3,3.47,0.298,745.47,5819.0,1124.0,6943.0
HumanEval/139,consensus,gemma-4b:scot,2,1,0,3,0.667,70.0,,1.0,4.5,77.84,2.27,0.437,752.35,7673.0,1308.0,8981.0
HumanEval/139,consensus,gemma-4b:cot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.44,754.76,9439.0,1308.0,10747.0
HumanEval/139,consensus,gemma-4b:few_shot,7,1,0,8,0.875,80.0,,1.0,3.45,61.78,4.0,0.277,756.97,11557.0,1308.0,12865.0
HumanEval/139,consensus,gemma-4b:zero_shot,2,2,0,4,0.5,67.0,,1.0,4.6,73.65,2.6,0.375,767.38,2269.0,125.0,2394.0
