task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,baseline,gemma-4b:zero_shot,2,2,0,4,0.5,68.0,,1.0,4.4,72.21,2.53,0.35,1844.0,2316.0,4160.0
HumanEval/139,baseline,gemma-4b:cot,2,2,0,4,0.5,76.0,,1.0,3.2,76.82,2.13,0.416,2052.0,2316.0,4368.0
HumanEval/139,baseline,gemma-4b:scot,7,2,0,9,0.778,84.0,,1.0,2.2,76.96,3.6,0.28,2279.0,2316.0,4595.0
HumanEval/139,baseline,gemma-4b:few_shot,4,1,0,5,0.8,76.0,,1.0,2.88,71.73,3.0,0.378,2605.0,2316.0,4921.0
HumanEval/139,actor_critic,gemma-4b:zero_shot,4,3,0,7,0.571,78.0,,1.0,3.0,71.75,2.67,0.354,603.0,0.0,603.0
HumanEval/139,actor_critic,gemma-4b:cot,2,3,0,5,0.4,76.0,,1.0,3.33,74.47,2.4,0.387,549.0,0.0,549.0
HumanEval/139,actor_critic,gemma-4b:scot,3,2,0,5,0.6,76.0,,1.0,3.33,77.66,3.27,0.286,655.0,0.0,655.0
HumanEval/139,actor_critic,gemma-4b:few_shot,9,2,0,11,0.818,79.0,,1.0,3.5,56.5,4.73,0.239,1534.0,0.0,1534.0
HumanEval/139,adversarial,gemma-4b:zero_shot,2,3,0,5,0.4,69.0,,1.0,4.5,70.67,2.87,0.347,2322.0,0.0,2322.0
HumanEval/139,adversarial,gemma-4b:cot,4,3,0,7,0.571,78.0,,1.0,2.88,74.75,2.6,0.388,2538.0,0.0,2538.0
HumanEval/139,adversarial,gemma-4b:scot,7,0,0,7,1.0,82.0,,0.0,2.25,74.27,3.67,0.266,2988.0,0.0,2988.0
HumanEval/139,adversarial,gemma-4b:few_shot,7,2,0,9,0.778,79.0,,1.0,3.75,60.56,4.47,0.243,135.0,0.0,135.0
HumanEval/139,soa,gemma-4b:zero_shot,2,3,0,5,0.4,69.0,,1.0,4.5,70.67,2.87,0.341,4348.0,0.0,4348.0
HumanEval/139,soa,gemma-4b:cot,0,4,0,4,0.0,66.0,,1.0,3.0,78.6,2.2,0.413,4846.0,0.0,4846.0
HumanEval/139,soa,gemma-4b:scot,2,2,0,4,0.5,73.0,,1.0,3.8,77.25,2.33,0.428,5829.0,0.0,5829.0
HumanEval/139,soa,gemma-4b:few_shot,7,1,0,8,0.875,80.0,,1.0,3.45,61.78,4.0,0.277,852.0,0.0,852.0
HumanEval/139,hybrid,gemma-4b:cot,2,3,0,5,0.4,77.0,,1.0,3.5,74.34,2.47,0.387,1613.0,150.0,1763.0
HumanEval/139,hybrid,gemma-4b:zero_shot,2,7,0,9,0.222,74.0,,1.0,3.6,65.3,3.47,0.298,5819.0,1124.0,6943.0
HumanEval/139,consensus,gemma-4b:scot,2,1,0,3,0.667,70.0,,1.0,4.5,77.84,2.27,0.437,7673.0,1308.0,8981.0
HumanEval/139,consensus,gemma-4b:cot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.44,9439.0,1308.0,10747.0
HumanEval/139,consensus,gemma-4b:few_shot,7,1,0,8,0.875,80.0,,1.0,3.45,61.78,4.0,0.277,11557.0,1308.0,12865.0
HumanEval/139,consensus,gemma-4b:zero_shot,2,2,0,4,0.5,67.0,,1.0,4.6,73.65,2.6,0.375,2269.0,125.0,2394.0
HumanEval/139,hybrid,gemma-4b:scot,3,2,0,5,0.6,81.0,,1.0,3.33,77.41,3.27,0.28,3528.0,125.0,3653.0
HumanEval/139,hybrid,gemma-4b:few_shot,9,4,0,13,0.692,87.0,,1.0,3.44,56.32,5.13,0.205,2052.0,0.0,2052.0
HumanEval/139,atomic_swarm,gemma-4b:few_shot,2,0,0,2,1.0,94.0,,0.25,2.0,70.19,0.53,0.13,6576.0,1291.0,7867.0
HumanEval/139,atomic_swarm,gemma-4b:cot,3,0,0,3,1.0,57.0,,0.0,2.8,79.62,3.2,0.42,7023.0,1416.0,8439.0
HumanEval/139,atomic_swarm,gemma-4b:zero_shot,2,1,0,3,0.667,54.0,,1.0,3.6,75.58,3.73,0.356,7169.0,1416.0,8585.0
HumanEval/139,atomic_swarm,gemma-4b:scot,2,1,0,3,0.667,58.0,,1.0,2.6,79.86,3.27,0.393,370.0,0.0,370.0
HumanEval/140,baseline,gemma-4b:cot,4,5,0,9,0.444,87.0,,1.0,2.2,74.28,3.0,0.404,2073.0,2837.0,4910.0
HumanEval/140,baseline,gemma-4b:zero_shot,4,5,0,9,0.444,87.0,,1.0,2.2,74.28,3.0,0.398,2846.0,3020.0,5866.0
HumanEval/140,baseline,gemma-4b:scot,3,2,0,5,0.6,84.0,,1.0,2.33,77.21,3.71,0.317,3092.0,3020.0,6112.0
HumanEval/140,baseline,gemma-4b:few_shot,7,4,0,11,0.636,90.0,,1.0,2.21,65.07,4.07,0.321,5514.0,3725.0,9239.0
HumanEval/139,self_healing,gemma-4b:cot,2,2,0,4,0.5,74.0,,1.0,3.4,79.33,2.2,0.45,0.0,0.0,0.0
HumanEval/139,self_healing,gemma-4b:scot,3,2,0,5,0.6,80.0,,1.0,3.17,77.61,2.33,0.43,0.0,0.0,0.0
HumanEval/139,self_healing,gemma-4b:zero_shot,2,3,0,5,0.4,74.0,,1.0,4.0,71.89,2.67,0.361,0.0,0.0,0.0
HumanEval/139,self_healing,gemma-4b:few_shot,7,2,0,9,0.778,83.0,,1.0,2.17,71.16,3.13,0.365,0.0,0.0,0.0
HumanEval/139,coa,gemma-4b:zero_shot,4,0,0,4,1.0,84.0,,0.25,2.0,74.76,1.73,0.071,150.0,0.0,150.0
HumanEval/139,coa,gemma-4b:cot,4,2,0,6,0.667,52.0,,1.0,2.75,69.35,5.73,0.244,358.0,0.0,358.0
HumanEval/146,baseline,gemma-4b:scot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6472.0,5143.0,11615.0
HumanEval/144,baseline,gemma-4b:few_shot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6212.0,5143.0,11355.0
HumanEval/146,baseline,gemma-4b:few_shot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7809.0,6063.0,13872.0
HumanEval/142,baseline,gemma-4b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7224.0,5767.0,12991.0
HumanEval/146,baseline,gemma-4b:zero_shot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8901.0,6853.0,15754.0
HumanEval/146,baseline,gemma-4b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510.0,3283.0,6793.0
HumanEval/144,baseline,gemma-4b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9167.0,6853.0,16020.0
HumanEval/142,baseline,gemma-4b:few_shot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9569.0,6853.0,16422.0
HumanEval/144,baseline,gemma-4b:scot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9854.0,6853.0,16707.0
HumanEval/142,baseline,gemma-4b:scot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10157.0,6853.0,17010.0
HumanEval/142,baseline,gemma-4b:zero_shot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10383.0,6853.0,17236.0
HumanEval/145,baseline,gemma-4b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10623.0,6853.0,17476.0
HumanEval/143,baseline,gemma-4b:zero_shot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10837.0,6853.0,17690.0
HumanEval/143,baseline,gemma-4b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11109.0,6853.0,17962.0
HumanEval/145,baseline,gemma-4b:zero_shot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11291.0,6853.0,18144.0
