task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,soa,gemma-27b:few_shot,6,3,0,9,0.667,100.0,,1.0,1.78,56.26,1.4,0.009,13.93,2030.0,0.0,2030.0
HumanEval/140,soa,gemma-27b:few_shot,7,5,0,12,0.583,100.0,,1.0,2.0,52.19,1.79,0.05,17.92,2373.0,0.0,2373.0
HumanEval/139,soa,gemma-27b:cot,3,3,0,6,0.5,84.0,,1.0,2.0,78.91,2.93,0.343,22.45,2581.0,0.0,2581.0
HumanEval/140,soa,gemma-27b:zero_shot,10,5,0,15,0.667,100.0,,1.0,2.0,48.87,2.21,0.042,23.16,2973.0,0.0,2973.0
HumanEval/139,soa,gemma-27b:zero_shot,8,2,0,10,0.8,77.0,,1.0,2.17,71.67,3.0,0.363,24.02,3123.0,0.0,3123.0
HumanEval/140,soa,gemma-27b:cot,10,5,0,15,0.667,100.0,,1.0,2.0,48.28,2.36,0.054,24.3,2806.0,0.0,2806.0
HumanEval/139,soa,gemma-27b:scot,3,1,0,4,0.75,85.0,,1.0,2.8,78.59,3.8,0.255,26.14,229.0,0.0,229.0
HumanEval/141,soa,gemma-27b:zero_shot,10,0,0,10,1.0,100.0,,0.25,4.3,40.44,2.0,0.009,26.5,782.0,0.0,782.0
HumanEval/141,soa,gemma-27b:cot,10,1,0,11,0.909,98.0,,1.0,4.0,40.21,2.05,0.009,27.12,1123.0,0.0,1123.0
HumanEval/140,soa,gemma-27b:scot,10,3,0,13,0.769,87.0,,1.0,2.07,74.32,4.86,0.234,27.23,1369.0,0.0,1369.0
HumanEval/141,soa,gemma-27b:few_shot,8,1,0,9,0.889,96.0,,1.0,3.67,45.28,1.55,0.024,15.56,1056.0,0.0,1056.0
HumanEval/143,soa,gemma-27b:few_shot,5,5,0,10,0.5,100.0,,1.0,2.0,54.83,1.05,0.039,14.33,1169.0,0.0,1169.0
HumanEval/142,soa,gemma-27b:zero_shot,6,8,0,14,0.429,100.0,,1.0,1.79,48.88,1.68,0.041,19.86,224.0,0.0,224.0
HumanEval/141,soa,gemma-27b:scot,24,0,0,24,1.0,74.0,,0.0,3.0,71.84,4.95,0.407,28.79,779.0,0.0,779.0
HumanEval/142,soa,gemma-27b:cot,7,5,0,12,0.583,100.0,,1.0,2.17,45.32,1.53,0.068,21.79,1451.0,0.0,1451.0
HumanEval/143,soa,gemma-27b:zero_shot,5,7,0,12,0.417,85.0,,1.0,2.33,67.98,3.15,0.404,19.36,2065.0,0.0,2065.0
HumanEval/142,soa,gemma-27b:few_shot,4,6,0,10,0.4,100.0,,1.0,2.4,43.67,1.58,0.114,21.96,1851.0,0.0,1851.0
HumanEval/143,soa,gemma-27b:cot,0,1,0,1,0.0,41.0,,1.0,15.67,61.51,3.5,0.322,23.45,272.0,0.0,272.0
HumanEval/143,soa,gemma-27b:scot,9,12,0,21,0.429,83.0,,1.0,2.58,73.17,4.0,0.315,24.01,293.0,0.0,293.0
HumanEval/144,soa,gemma-27b:zero_shot,14,1,0,15,0.933,93.0,,1.0,1.94,70.93,3.54,0.456,19.31,971.0,0.0,971.0
HumanEval/142,soa,gemma-27b:scot,4,8,0,12,0.333,75.0,,1.0,2.23,70.07,3.32,0.358,29.46,596.0,0.0,596.0
HumanEval/144,soa,gemma-27b:few_shot,1,3,0,4,0.25,91.0,,1.0,6.75,47.49,2.15,0.02,14.42,384.0,0.0,384.0
HumanEval/144,soa,gemma-27b:cot,5,3,0,8,0.625,89.0,,1.0,5.12,40.88,3.23,0.071,18.11,602.0,0.0,602.0
HumanEval/145,soa,gemma-27b:zero_shot,7,6,0,13,0.538,78.0,,1.0,1.93,71.09,2.15,0.35,19.52,348.0,0.0,348.0
HumanEval/145,soa,gemma-27b:few_shot,6,4,0,10,0.6,100.0,,1.0,2.0,52.29,1.05,0.044,16.36,356.0,0.0,356.0
HumanEval/145,soa,gemma-27b:cot,8,6,0,14,0.571,78.0,,1.0,1.93,70.03,2.25,0.325,22.21,594.0,0.0,594.0
HumanEval/144,soa,gemma-27b:scot,5,1,0,6,0.833,93.0,,1.0,3.86,72.78,5.23,0.316,27.53,881.0,0.0,881.0
HumanEval/145,soa,gemma-27b:scot,5,7,0,12,0.417,77.0,,1.0,1.92,73.96,2.9,0.244,26.84,259.0,0.0,259.0
HumanEval/146,soa,gemma-27b:zero_shot,13,3,0,16,0.812,84.0,,1.0,2.24,63.11,3.92,0.303,22.11,442.0,0.0,442.0
HumanEval/146,soa,gemma-27b:few_shot,8,2,0,10,0.8,100.0,,1.0,2.0,53.07,1.62,0.195,16.25,801.0,0.0,801.0
HumanEval/146,soa,gemma-27b:cot,12,4,0,16,0.75,84.0,,1.0,2.24,63.33,3.92,0.304,21.81,241.0,0.0,241.0
HumanEval/147,soa,gemma-27b:zero_shot,4,13,0,17,0.235,90.0,,1.0,2.22,67.86,3.29,0.379,41.28,233.0,0.0,233.0
HumanEval/147,soa,gemma-27b:few_shot,3,10,0,13,0.231,100.0,,1.0,2.15,49.56,1.71,0.013,34.11,879.0,0.0,879.0
HumanEval/147,soa,gemma-27b:cot,4,8,0,12,0.333,88.0,,1.0,2.31,73.43,2.71,0.43,41.18,1170.0,0.0,1170.0
HumanEval/148,soa,gemma-27b:few_shot,7,5,0,12,0.583,100.0,,1.0,2.0,52.19,1.19,0.03,34.47,442.0,0.0,442.0
HumanEval/148,soa,gemma-27b:zero_shot,7,1,0,8,0.875,93.0,,1.0,4.25,44.13,1.67,0.027,39.11,266.0,0.0,266.0
HumanEval/148,soa,gemma-27b:cot,5,1,0,6,0.833,87.0,,1.0,4.83,46.46,1.43,0.029,36.19,827.0,0.0,827.0
HumanEval/147,soa,gemma-27b:scot,7,5,0,12,0.583,82.0,,1.0,3.67,80.21,3.47,0.347,43.87,1376.0,0.0,1376.0
HumanEval/149,soa,gemma-27b:zero_shot,10,2,0,12,0.833,80.0,,1.0,2.23,76.67,2.14,0.494,38.91,252.0,0.0,252.0
