task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,soa,gemma-27b:few_shot,6,3,0,9,0.667,100.0,,1.0,1.78,56.26,1.4,0.009,2030.0,0.0,2030.0
HumanEval/140,soa,gemma-27b:few_shot,7,5,0,12,0.583,100.0,,1.0,2.0,52.19,1.79,0.05,2373.0,0.0,2373.0
HumanEval/139,soa,gemma-27b:cot,3,3,0,6,0.5,84.0,,1.0,2.0,78.91,2.93,0.343,2581.0,0.0,2581.0
HumanEval/140,soa,gemma-27b:zero_shot,10,5,0,15,0.667,100.0,,1.0,2.0,48.87,2.21,0.042,2973.0,0.0,2973.0
HumanEval/139,soa,gemma-27b:zero_shot,8,2,0,10,0.8,77.0,,1.0,2.17,71.67,3.0,0.363,3123.0,0.0,3123.0
HumanEval/140,soa,gemma-27b:cot,10,5,0,15,0.667,100.0,,1.0,2.0,48.28,2.36,0.054,2806.0,0.0,2806.0
HumanEval/139,soa,gemma-27b:scot,3,1,0,4,0.75,85.0,,1.0,2.8,78.59,3.8,0.255,229.0,0.0,229.0
HumanEval/141,soa,gemma-27b:zero_shot,10,0,0,10,1.0,100.0,,0.25,4.3,40.44,2.0,0.009,782.0,0.0,782.0
HumanEval/141,soa,gemma-27b:cot,10,1,0,11,0.909,98.0,,1.0,4.0,40.21,2.05,0.009,1123.0,0.0,1123.0
HumanEval/140,soa,gemma-27b:scot,10,3,0,13,0.769,87.0,,1.0,2.07,74.32,4.86,0.234,1369.0,0.0,1369.0
HumanEval/141,soa,gemma-27b:few_shot,8,1,0,9,0.889,96.0,,1.0,3.67,45.28,1.55,0.024,1056.0,0.0,1056.0
HumanEval/143,soa,gemma-27b:few_shot,5,5,0,10,0.5,100.0,,1.0,2.0,54.83,1.05,0.039,1169.0,0.0,1169.0
HumanEval/142,soa,gemma-27b:zero_shot,6,8,0,14,0.429,100.0,,1.0,1.79,48.88,1.68,0.041,224.0,0.0,224.0
HumanEval/141,soa,gemma-27b:scot,24,0,0,24,1.0,74.0,,0.0,3.0,71.84,4.95,0.407,779.0,0.0,779.0
HumanEval/142,soa,gemma-27b:cot,7,5,0,12,0.583,100.0,,1.0,2.17,45.32,1.53,0.068,1451.0,0.0,1451.0
HumanEval/143,soa,gemma-27b:zero_shot,5,7,0,12,0.417,85.0,,1.0,2.33,67.98,3.15,0.404,2065.0,0.0,2065.0
HumanEval/142,soa,gemma-27b:few_shot,4,6,0,10,0.4,100.0,,1.0,2.4,43.67,1.58,0.114,1851.0,0.0,1851.0
HumanEval/143,soa,gemma-27b:cot,0,1,0,1,0.0,41.0,,1.0,15.67,61.51,3.5,0.322,272.0,0.0,272.0
HumanEval/143,soa,gemma-27b:scot,9,12,0,21,0.429,83.0,,1.0,2.58,73.17,4.0,0.315,293.0,0.0,293.0
HumanEval/144,soa,gemma-27b:zero_shot,14,1,0,15,0.933,93.0,,1.0,1.94,70.93,3.54,0.456,971.0,0.0,971.0
HumanEval/142,soa,gemma-27b:scot,4,8,0,12,0.333,75.0,,1.0,2.23,70.07,3.32,0.358,596.0,0.0,596.0
HumanEval/144,soa,gemma-27b:few_shot,1,3,0,4,0.25,91.0,,1.0,6.75,47.49,2.15,0.02,384.0,0.0,384.0
HumanEval/144,soa,gemma-27b:cot,5,3,0,8,0.625,89.0,,1.0,5.12,40.88,3.23,0.071,602.0,0.0,602.0
HumanEval/145,soa,gemma-27b:zero_shot,7,6,0,13,0.538,78.0,,1.0,1.93,71.09,2.15,0.35,348.0,0.0,348.0
HumanEval/145,soa,gemma-27b:few_shot,6,4,0,10,0.6,100.0,,1.0,2.0,52.29,1.05,0.044,356.0,0.0,356.0
HumanEval/145,soa,gemma-27b:cot,8,6,0,14,0.571,78.0,,1.0,1.93,70.03,2.25,0.325,594.0,0.0,594.0
HumanEval/144,soa,gemma-27b:scot,5,1,0,6,0.833,93.0,,1.0,3.86,72.78,5.23,0.316,881.0,0.0,881.0
