task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,competitive,gemma-1b:few_shot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-1b:cot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-1b:zero_shot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-1b:scot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-4b:cot,2,2,0,4,0.5,68.0,,1.0,4.4,74.51,2.53,0.382,,1590,532,2122
HumanEval/139,competitive,gemma-4b:few_shot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.442,,1590,532,2122
HumanEval/139,competitive,gemma-4b:scot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.442,,1590,532,2122
HumanEval/139,competitive,gemma-4b:zero_shot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.442,,1590,532,2122
HumanEval/139,competitive,gemma-12b:zero_shot,2,3,0,5,0.4,88.0,,1.0,2.8,64.95,1.67,0.085,,1590,532,2122
HumanEval/139,competitive,gemma-12b:cot,2,3,0,5,0.4,88.0,,1.0,2.8,64.95,1.67,0.085,,1590,532,2122
HumanEval/139,competitive,gemma-27b:zero_shot,0,0,0,0,0,22.0,,1.0,0,100.0,0.07,0.114,,0,0,0
HumanEval/139,competitive,gemma-27b:cot,0,0,0,0,0,22.0,,1.0,0,100.0,0.07,0.114,,0,0,0
HumanEval/139,competitive,gemma-27b:scot,0,0,0,0,0,22.0,,1.0,0,100.0,0.07,0.114,,0,0,0
HumanEval/139,competitive,gemma-27b:few_shot,0,0,0,0,0,22.0,,1.0,0,100.0,0.07,0.114,,0,0,0
HumanEval/140,competitive,gemma-1b:zero_shot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.441,,0,0,0
HumanEval/140,competitive,gemma-1b:scot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.441,,0,0,0
HumanEval/139,competitive,gemma-12b:scot,2,3,0,5,0.4,91.0,,1.0,2.8,64.95,1.67,0.098,,0,0,0
HumanEval/140,competitive,gemma-1b:cot,0,0,0,0,0,12.0,,1.0,4.0,90.63,1.29,0.425,,0,0,0
HumanEval/140,competitive,gemma-1b:few_shot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.443,,0,0,0
HumanEval/139,competitive,gemma-12b:few_shot,2,3,0,5,0.4,88.0,,1.0,2.8,64.95,1.67,0.085,,0,0,0
HumanEval/140,competitive,gemma-27b:zero_shot,0,0,0,0,0,25.0,,1.0,0,100.0,0.07,0.04,,0,0,0
HumanEval/140,competitive,gemma-27b:cot,0,0,0,0,0,25.0,,1.0,0,100.0,0.07,0.04,,0,0,0
HumanEval/140,competitive,gemma-4b:zero_shot,5,4,0,9,0.556,86.0,,1.0,2.2,75.55,2.86,0.421,,0,0,0
HumanEval/140,competitive,gemma-4b:scot,5,3,0,8,0.625,86.0,,1.0,2.22,77.06,2.71,0.438,,0,0,0
HumanEval/140,competitive,gemma-4b:cot,4,4,0,8,0.5,86.0,,1.0,2.22,75.72,2.86,0.43,,0,0,0
HumanEval/140,competitive,gemma-4b:few_shot,5,3,0,8,0.625,86.0,,1.0,2.22,75.72,2.86,0.418,,0,0,0
HumanEval/140,competitive,gemma-27b:scot,0,0,0,0,0,25.0,,1.0,0,100.0,0.07,0.04,,0,0,0
