task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score
HumanEval/139,competitive,gemma-4b:zero_shot,2,2,0,4,0.5,78.05,75.0,1.0,3.17,78.72,2.93,0.364,0,0,0,10,1,3,0.0,0.692
HumanEval/139,baseline,gemma-4b:zero_shot,2,2,0,4,0.5,73.33,75.0,1.0,3.83,74.09,3.2,0.3,11569,10858,22427,14,1,3,0.0,0.692
HumanEval/139,actor_critic,gemma-4b:zero_shot,4,3,0,7,0.571,80.85,75.0,1.0,2.78,74.14,3.33,0.303,13882,11752,25634,11,1,3,0.0,0.692
HumanEval/139,coa,gemma-4b:zero_shot,0,4,0,4,0.0,63.64,0.0,1.0,1.9,83.15,2.4,0.421,14032,11752,25784,3,1,3,0.667,0.35
HumanEval/139,hybrid,gemma-4b:zero_shot,2,7,0,9,0.222,81.36,75.0,1.0,3.36,69.5,4.13,0.261,15628,12055,27683,17,2,3,0.0,0.733
HumanEval/139,soa,gemma-4b:zero_shot,2,3,0,5,0.4,74.0,75.0,1.0,4.0,73.69,3.53,0.294,1172,0,1172,15,1,3,0.0,0.692
HumanEval/139,competitive,gemma-4b:cot,2,2,0,4,0.5,78.05,75.0,1.0,3.17,78.72,2.93,0.364,0,0,0,10,1,3,0.0,0.692
HumanEval/139,atomic_swarm,gemma-4b:zero_shot,2,1,0,3,0.667,54.84,43.75,1.0,3.17,75.08,4.4,0.307,146,0,146,5,1,4,0.0,0.617
HumanEval/139,baseline,gemma-4b:cot,2,2,0,4,0.5,79.49,75.0,1.0,2.83,76.43,2.8,0.347,559,0,559,8,1,3,0.0,0.642
HumanEval/139,swarm,gemma-4b:zero_shot,5,1,0,6,0.833,82.5,75.0,1.0,2.12,80.98,2.87,0.39,618,0,618,6,1,3,0.0,0.592
HumanEval/139,actor_critic,gemma-4b:cot,4,3,0,7,0.571,84.09,75.0,1.0,2.44,75.55,3.13,0.319,549,0,549,9,1,3,0.0,0.667
HumanEval/139,adversarial,gemma-4b:zero_shot,2,3,0,5,0.4,74.0,75.0,1.0,4.0,73.69,3.53,0.299,884,0,884,15,1,3,0.0,0.692
HumanEval/139,soa,gemma-4b:cot,3,2,0,5,0.6,72.92,75.0,1.0,3.71,72.83,3.4,0.279,1029,0,1029,14,1,3,0.0,0.692
HumanEval/139,coa,gemma-4b:cot,0,4,0,4,0.0,63.64,0.0,1.0,1.9,83.15,2.4,0.421,1371,0,1371,3,1,3,0.667,0.35
HumanEval/139,competitive,gemma-4b:scot,2,2,0,4,0.5,74.42,75.0,1.0,3.5,76.17,3.07,0.333,0,0,0,12,1,3,0.0,0.692
HumanEval/139,baseline,gemma-4b:scot,6,1,0,7,0.857,82.93,75.0,1.0,2.11,72.31,3.93,0.269,1598,0,1598,7,1,3,0.0,0.617
HumanEval/139,consensus,gemma-4b:zero_shot,2,2,0,4,0.5,73.33,75.0,1.0,3.83,74.09,3.2,0.3,1942,0,1942,14,1,3,0.0,0.692
HumanEval/139,hybrid,gemma-4b:cot,0,1,0,1,0.0,58.97,62.5,1.0,5.67,78.72,2.8,0.375,3213,0,3213,11,1,3,0.0,0.692
HumanEval/139,atomic_swarm,gemma-4b:cot,2,1,0,3,0.667,54.84,43.75,1.0,3.17,75.08,4.4,0.307,769,0,769,5,1,4,0.0,0.617
HumanEval/139,actor_critic,gemma-4b:scot,2,3,0,5,0.4,80.0,75.0,1.0,3.29,72.88,4.07,0.262,1663,0,1663,7,1,3,0.0,0.617
HumanEval/139,swarm,gemma-4b:cot,5,1,0,6,0.833,82.5,75.0,1.0,2.12,80.94,2.87,0.389,2540,0,2540,6,1,3,0.0,0.592
HumanEval/139,coa,gemma-4b:scot,0,4,0,4,0.0,63.64,0.0,1.0,1.9,83.15,2.4,0.421,300,133,433,3,1,3,0.667,0.35
